year	month	rank	net_worth	last_name	first_name	full_name	birth_date	age	gender	country_of_citizenship	country_of_residence	city_of_residence	business_category	business_industries	organization_name	position_in_organization	self_made	wealth_status
2021	4	1	177.0 B	Bezos	Jeff	Jeff Bezos	1964/01/12	57	Male	United States	United States	Seattle	Technology	['Technology']	Amazon	Entrepreneur	TRUE	Increased
2021	4	2	151.0 B	Musk	Elon	Elon Musk	1971/06/28	49	Male	United States	United States	Austin	Automotive	['Automotive']	Tesla	CEO and Chairman	TRUE	Increased
2021	4	3	150.0 B	Arnault	Bernard	Bernard Arnault & family	1949/03/05	72	Male	France	France	Paris	Fashion & Retail	['Fashion & Retail']	LVMH Moet Hennessy Louis Vuitton	Chairman and CEO	FALSE	Increased
2021	4	4	124.0 B	Gates	Bill	Bill Gates	1955/10/28	65	Male	United States	United States	Medina	Technology	['Technology']	Bill & Melinda Gates Foundation	Cofounder	TRUE	Increased
2021	4	5	97.0 B	Zuckerberg	Mark	Mark Zuckerberg	1984/05/14	36	Male	United States	United States	Palo Alto	Technology	['Technology']	Facebook	Entrepreneur	TRUE	Increased
2021	4	6	96.0 B	Buffett	Warren	Warren Buffett	1930/08/30	90	Male	United States	United States	Omaha	Finance & Investments	['Finance & Investments']	Berkshire Hathaway Inc. (Cl A)	CEO	TRUE	Increased
2021	4	7	93.0 B	Ellison	Larry	Larry Ellison	1944/08/17	76	Male	United States	United States	Lanai	Technology	['Technology']	Oracle Corp.	CTO and Founder	TRUE	Increased
2021	4	8	91.5 B	Page	Larry	Larry Page	1973/03/26	48	Male	United States	United States	Palo Alto	Technology	['Technology']	Alphabet	Entrepreneur	TRUE	Increased
2021	4	9	89.0 B	Brin	Sergey	Sergey Brin	1973/08/21	47	Male	United States	United States	Los Altos	Technology	['Technology']	Alphabet	Cofounder and board member	TRUE	Increased
2021	4	10	84.5 B	Ambani	Mukesh	Mukesh Ambani	1957/04/19	63	Male	India	India	Mumbai	Diversified	['Diversified']	Reliance Industries Ltd.	Founder and Chairman	FALSE	Increased
2021	4	11	77.0 B	Ortega	Amancio	Amancio Ortega	1936/03/28	85	Male	Spain	Spain	La Coruna	Fashion & Retail	['Fashion & Retail']			TRUE	Increased
2021	4	12	73.6 B	Bettencourt Meyers	Francoise	Francoise Bettencourt Meyers & family	1953/07/10	67	Female	France	France	Paris	Fashion & Retail	['Fashion & Retail']			FALSE	Increased
2021	4	13	68.9 B	Zhong	Shanshan	Zhong Shanshan	1954/12/01	66	Male	China	China	Hangzhou	Food & Beverage	['Food & Beverage']			TRUE	Increased
2021	4	14	68.7 B	Ballmer	Steve	Steve Ballmer	1956/03/24	65	Male	United States	United States	Hunts Point	Technology	['Technology']	Los Angeles Clippers	Owner	TRUE	Increased
2021	4	15	65.8 B	Ma	Huateng	Ma Huateng	1971/10/29	49	Male	China	China	Shenzhen	Technology	['Technology']	Tencent	Chairman and CEO	TRUE	Increased
2021	4	16	62.8 B	Slim Helu	Carlos	Carlos Slim Helu & family	1940/01/28	81	Male	Mexico	Mexico	Mexico City	Telecom	['Telecom']	America Movil SAB de CV (ADR)	Honorary Chairman	TRUE	Increased
2021	4	17	61.8 B	Walton	Alice	Alice Walton	1949/10/07	71	Female	United States	United States	Fort Worth	Fashion & Retail	['Fashion & Retail']	Crystal Bridges Museum of American Art	Philanthropist	FALSE	Increased
2021	4	18	60.2 B	Walton	Jim	Jim Walton	1948/06/07	72	Male	United States	United States	Bentonville	Fashion & Retail	['Fashion & Retail']	Arvest Bank Group, Inc.	Chairman and CEO	FALSE	Increased
2021	4	19	59.5 B	Walton	Rob	Rob Walton	1944/10/27	76	Male	United States	United States	Bentonville	Fashion & Retail	['Fashion & Retail']	Walmart Inc.	Director	FALSE	Increased
2021	4	20	59.0 B	Bloomberg	Michael	Michael Bloomberg	1942/02/14	79	Male	United States	United States	New York	Media & Entertainment	['Media & Entertainment']	Bloomberg L.P.	CEO	TRUE	Increased
2021	4	21	55.3 B	Huang	Colin Zheng	Colin Zheng Huang	1980/02/02	41	Male	China	China	Shanghai	Technology	['Technology']			TRUE	Increased
2021	4	22	53.0 B	Scott	MacKenzie	MacKenzie Scott	1970/04/07	50	Female	United States	United States	Seattle	Technology	['Technology']			FALSE	Increased
2021	4	23	51.9 B	Gilbert	Daniel	Daniel Gilbert	1962/01/17	59	Male	United States	United States	Franklin	Finance & Investments	['Finance & Investments']			TRUE	Increased
2021	4	24	50.5 B	Adani	Gautam	Gautam Adani	1962/06/24	58	Male	India	India	Ahmedabad	Diversified	['Diversified']			TRUE	Increased
2021	4	25	49.9 B	Knight	Phil	Phil Knight & family	1938/02/24	83	Male	United States	United States	Hillsboro	Fashion & Retail	['Fashion & Retail']	Nike	Chairman	TRUE	Increased
2021	4	26	48.4 B	Ma	Jack	Jack Ma	1964/09/10	56	Male	China	China	Hangzhou	Technology	['Technology']	Alibaba Group	Founder and Executive Chairman	TRUE	Increased
2021	4	27	46.4 B	Koch	Charles	Charles Koch	1935/11/01	85	Male	United States	United States	Wichita	Diversified	['Diversified']	Koch Industries, Inc.	CEO	FALSE	Increased
2021	4	27	46.4 B	Koch	Julia	Julia Koch & family	1962/04/12	58	Female	United States	United States	New York	Diversified	['Diversified']			FALSE	Increased
2021	4	29	45.4 B	Son	Masayoshi	Masayoshi Son	1957/08/11	63	Male	Japan	Japan	Tokyo	Telecom	['Telecom']	Softbank Corp.	CEO	TRUE	Increased
2021	4	30	45.1 B	Dell	Michael	Michael Dell	1965/02/23	56	Male	United States	United States	Austin	Technology	['Technology']	Dell Inc.	Chairman and CEO	TRUE	Increased
2021	4	31	44.1 B	Yanai	Tadashi	Tadashi Yanai & family	1949/02/07	72	Male	Japan	Japan	Tokyo	Fashion & Retail	['Fashion & Retail']			TRUE	Increased
2021	4	32	42.3 B	Pinault	François	François Pinault & family	1936/08/21	84	Male	France	France	Paris	Fashion & Retail	['Fashion & Retail']			TRUE	Increased
2021	4	33	41.8 B	Thomson	David	David Thomson & family	1957/06/12	63	Male	Canada	Canada	Toronto	Media & Entertainment	['Media & Entertainment']	Thomson Reuters Corporation	Chairman	FALSE	Increased
2021	4	34	39.2 B	Albrecht Jr.	Beate Heister & Karl	Karl Albrecht Jr. & family				Germany	Germany		Fashion & Retail	['Fashion & Retail']			FALSE	Increased
