year	month	rank	net_worth	last_name	first_name	full_name	birth_date	age	gender	country_of_citizenship	country_of_residence	city_of_residence	business_category	business_industries	organization_name	position_in_organization	self_made	wealth_status
2022	4	1	219.0 B	Musk	Elon	Elon Musk	1971/06/28	50	Male	United States	United States	Austin	Automotive	['Automotive']	Tesla	CEO	TRUE	Increased
2022	4	2	171.0 B	Bezos	Jeff	Jeff Bezos	1964/01/12	58	Male	United States	United States	Seattle	Technology	['Technology']	Amazon	Chairman and Founder	TRUE	Decreased
2022	4	3	158.0 B	Arnault	Bernard	Bernard Arnault & family	1949/03/05	73	Male	France	France	Paris	Fashion & Retail	['Fashion & Retail']	LVMH Moet Hennessy Louis Vuitton	Chairman and CEO	FALSE	Increased
2022	4	4	129.0 B	Gates	Bill	Bill Gates	1955/10/28	66	Male	United States	United States	Medina	Technology	['Technology']	Bill & Melinda Gates Foundation	Cofounder	TRUE	Increased
2022	4	5	118.0 B	Buffett	Warren	Warren Buffett	1930/08/30	91	Male	United States	United States	Omaha	Finance & Investments	['Finance & Investments']	Berkshire Hathaway Inc. (Cl A)	CEO	TRUE	Increased
2022	4	6	111.0 B	Page	Larry	Larry Page	1973/03/26	49	Male	United States	United States	Palo Alto	Technology	['Technology']	Alphabet	Cofounder and board member	TRUE	Increased
2022	4	7	107.0 B	Brin	Sergey	Sergey Brin	1973/08/21	48	Male	United States	United States	Los Altos	Technology	['Technology']	Alphabet	Cofounder and board member	TRUE	Increased
2022	4	8	106.0 B	Ellison	Larry	Larry Ellison	1944/08/17	77	Male	United States	United States	Lanai	Technology	['Technology']	Oracle	CTO and Founder	TRUE	Increased
2022	4	9	91.4 B	Ballmer	Steve	Steve Ballmer	1956/03/24	66	Male	United States	United States	Hunts Point	Technology	['Technology']	Los Angeles Clippers	Owner	TRUE	Increased
2022	4	10	90.7 B	Ambani	Mukesh	Mukesh Ambani	1957/04/19	64	Male	India	India	Mumbai	Diversified	['Diversified']	Reliance Industries Ltd.	Founder and Chairman	FALSE	Increased
2022	4	11	90.0 B	Adani	Gautam	Gautam Adani	1962/06/24	59	Male	India	India	Ahmedabad	Diversified	['Diversified']			TRUE	Increased
2022	4	12	82.0 B	Bloomberg	Michael	Michael Bloomberg	1942/02/14	80	Male	United States	United States	New York	Media & Entertainment	['Media & Entertainment']	Bloomberg L.P.	CEO	TRUE	Increased
2022	4	13	81.2 B	Slim Helu	Carlos	Carlos Slim Helu & family	1940/01/28	82	Male	Mexico	Mexico	Mexico City	Telecom	['Telecom']	America Movil SAB de CV (ADR)	Honorary Chairman	TRUE	Increased
2022	4	14	74.8 B	Bettencourt Meyers	Francoise	Francoise Bettencourt Meyers & family	1953/07/10	68	Female	France	France	Paris	Fashion & Retail	['Fashion & Retail']			FALSE	Increased
2022	4	15	67.3 B	Zuckerberg	Mark	Mark Zuckerberg	1984/05/14	37	Male	United States	United States	Palo Alto	Technology	['Technology']	Facebook	Cofounder	TRUE	Decreased
2022	4	16	66.2 B	Walton	Jim	Jim Walton	1948/06/07	73	Male	United States	United States	Bentonville	Fashion & Retail	['Fashion & Retail']	Arvest Bank Group, Inc.	Chairman and CEO	FALSE	Increased
2022	4	17	65.7 B	Zhong	Shanshan	Zhong Shanshan	1954/12/01	67	Male	China	China	Hangzhou	Food & Beverage	['Food & Beverage']			TRUE	Decreased
2022	4	18	65.3 B	Walton	Alice	Alice Walton	1949/10/07	72	Female	United States	United States	Fort Worth	Fashion & Retail	['Fashion & Retail']	Crystal Bridges Museum of American Art	Philanthropist	FALSE	Increased
2022	4	19	65.0 B	Walton	Rob	Rob Walton	1944/10/27	77	Male	United States	United States	Bentonville	Fashion & Retail	['Fashion & Retail']	Walmart	Director	FALSE	Increased
2022	4	19	65.0 B	Zhao	Changpeng	Changpeng Zhao	1977/09/10	44	Male	Canada	United Arab Emirates	Dubai	Finance & Investments	['Finance & Investments']			TRUE	Increased
2022	4	21	60.0 B	Koch	Charles	Charles Koch	1935/11/01	86	Male	United States	United States	Wichita	Diversified	['Diversified']	Koch Industries, Inc.	CEO	FALSE	Increased
2022	4	21	60.0 B	Koch	Julia	Julia Koch & family	1962/04/12	59	Female	United States	United States	New York	Diversified	['Diversified']			FALSE	Increased
2022	4	23	59.6 B	Ortega	Amancio	Amancio Ortega	1936/03/28	86	Male	Spain	Spain	La Coruna	Fashion & Retail	['Fashion & Retail']			TRUE	Decreased
2022	4	24	55.1 B	Dell	Michael	Michael Dell	1965/02/23	57	Male	United States	United States	Austin	Technology	['Technology']	Dell Inc.	Chairman and CEO	TRUE	Increased
2022	4	25	50.0 B	Zhang	Yiming	Zhang Yiming	1984/01/01	38	Male	China	China	Beijing	Media & Entertainment	['Media & Entertainment']	ByteDance	Founder	TRUE	Increased
2022	4	26	49.2 B	Thomson	David	David Thomson & family	1957/06/12	64	Male	Canada	Canada	Toronto	Media & Entertainment	['Media & Entertainment']	Thomson Reuters Corporation	Chairman	FALSE	Increased
2022	4	27	47.3 B	Knight	Phil	Phil Knight & family	1938/02/24	84	Male	United States	United States	Hillsboro	Fashion & Retail	['Fashion & Retail']	Nike	Chairman	TRUE	Decreased
2022	4	28	47.1 B	Schwarz	Dieter	Dieter Schwarz	1939/09/24	82	Male	Germany	Germany	Neckarsulm	Fashion & Retail	['Fashion & Retail']			FALSE	Increased
2022	4	29	44.8 B	Zeng	Robin	Robin Zeng	1969/01/01	53	Male	Hong Kong	China	Ningde	Automotive	['Automotive']			TRUE	Increased
2022	4	30	43.6 B	Scott	MacKenzie	MacKenzie Scott	1970/04/07	51	Female	United States	United States	Seattle	Technology	['Technology']		Philanthropist	FALSE	Decreased
2022	4	31	41.4 B	Saadé	Rodolphe	Rodolphe Saadé	1970/03/03	52	Male	France	France	Marseille	Logistics	['Logistics']	CMA CGM	Chairman and CEO	FALSE	Increased
2022	4	32	40.4 B	Pinault	François	François Pinault & family	1936/08/21	85	Male	France	France	Paris	Fashion & Retail	['Fashion & Retail']			TRUE	Decreased
2022	4	33	37.3 B	Kuehne	Klaus-Michael	Klaus-Michael Kuehne	1937/06/02	84	Male	Germany	Switzerland	Schindellegi	Logistics	['Logistics']			FALSE	Increased
2022	4	34	37.2 B	Ma	Huateng	Ma Huateng	1971/10/29	50	Male	China	China	Shenzhen	Technology	['Technology']	Tencent	Chairman and CEO	TRUE	Decreased
2022	4	35	36.8 B	Albrecht Jr.	Karl	Karl Albrecht Jr. & family				Germany	Germany		Fashion & Retail	['Fashion & Retail']			FALSE	Decreased
2022	4	36	36.2 B	Ferrero	Giovanni	Giovanni Ferrero	1964/09/21	57	Male	Italy	Belgium	Brussels	Food & Beverage	['Food & Beverage']			FALSE	Increased
2022	4	37	34.8 B	Li	Ka-shing	Li Ka-shing	1928/06/13	93	Male	Hong Kong	Hong Kong		Diversified	['Diversified']	CK Hutchison Holdings	Senior Advisor	TRUE	Increased
2022	4	37	34.8 B	Schwarzman	Stephen	Stephen Schwarzman	1947/02/14	75	Male	United States	United States	New York	Finance & Investments	['Finance & Investments']	Blackstone Group	Chairman and CEO	TRUE	Increased
2022	4	39	32.6 B	Lee	Shau Kee	Lee Shau Kee	1928/01/29	94	Male	Hong Kong	Hong Kong	Hong Kong	Real Estate	['Real Estate']			TRUE	Increased
2022	4	40	32.5 B	Blavatnik	Len	Len Blavatnik	1957/06/01	64	Male	United States	United Kingdom	London	Diversified	['Diversified']			TRUE	Increased
