year,full_name
2021,Karl Albrecht Jr. & family
2021,Zhou Qunfei & family
2021,Hinduja brothers
2021,Robert & Philip Ng
2021,Hank & Doug Meijer
2021,Judy Love & family
2021,Ian & Richard Livingstone
2021,Lam Wai-ying
2021,Chan Tan Ching-fen
2021,Kuldip Singh & Gurbachan Singh Dhingra
2021,Stewart & Lynda Resnick
2021,Safra siblings
2021,Bajaj brothers
2021,Li Haiyan
2021,Marcos Galperin
2021,Augusto & Giorgio Perfetti
2021,Kwee brothers
2021,Shu Ping
2021,Kapil & Rahul Bhatia
2021,Lee Yeow Chor & Yeow Seng
2021,Martin & Olivier Bouygues
2021,Dong Fan
2021,Liu Fangyi
2021,Pan Laican
2021,Xue Hua
2021,Vinod & Anil Rai Gupta
2021,Melissa Ma
2021,Udo & Harald Tschira
2021,Lai Jianping
2021,Maren Otto
2021,Paolo & Gianfelice Mario Rocca
2021,Majid Al Futtaim & family
2021,Dong Jinggui
2021,Yoichi & Keiko Erikawa
2021,Benjamin Otto
2021,Abdulla bin Ahmad Al Ghurair & family
2021,Baokun Bai
2021,Karin Schick
2021,Gabriella Meister
2021,Shum Chiu Hung & family
2021,Yang Yuanxi
2021,Mark & Robyn Jones
2021,Eddie & Sol Zakay
2021,Kiat Chiaravanont
2021,Sebastian Glaser
2021,Karin Sartorius-Herbst
2021,Renate Sick-Glaser
2021,Bill and Jean Adderley & family
2021,Guan Yihong
2021,Lai Jianfa
2021,Abdulla Al Futtaim & family
2021,Catherine Phillips
2021,Shashi & Ravi Ruia
2021,Anna Katharina Viessmann
2021,Andrew & Peggy Cherng
2021,Christiane Schoeller
2021,Huang Jiangji
2021,Lili Tan
2021,Wang Lizhan
2021,Philip Fayer
2021,Lu Di
2021,Chen Kaichen
2021,Chen Qiongxiang
2021,Ruben Feffer
2021,Tang Jianfang
2021,Wang Xuechao
2021,Ulrike Baro
2021,Manas Chiaravanond
2021,Fernando Trajano
2021,Fang Zhancheng
2021,Christian Herz
2021,Michaela Herz
2021,Christine Knauf
2021,Karl Knauf
2021,Gisele Trajano
2021,Jianfeng Wang & family
2021,Cho Jyh-jer
2021,Benedicte Find
2021,Ronald Slabke
2021,Wang Fuji
2021,Cai Hongbin
2021,Martin Knauf
2021,Robert Knauf
2021,Lai Baosheng
2021,Tseng Sing-ai
2021,Carmen Daurella Aguilera
2021,Michael McCain
2021,Maria Pinheiro
