year,full_name
2022,Karl Albrecht Jr. & family
2022,Hank & Doug Meijer
2022,Robert & Philip Ng
2022,Hinduja brothers
2022,Judy Love & family
2022,Ian & Richard Livingstone
2022,Bajaj brothers
2022,Francine von Finck & family
2022,Stewart & Lynda Resnick
2022,Bajaj siblings
2022,Safra siblings
2022,Zhou Qunfei
2022,Kwee brothers
2022,Kapil & Rahul Bhatia
2022,Lee Yeow Chor & Yeow Seng
2022,Lam Wai-ying
2022,Martin Bouygues
2022,Giorgio Perfetti
2022,Gerda Tschira
2022,Marcos Galperin
2022,Paolo & Gianfelice Mario Rocca
2022,Maren Otto
2022,Xue Hua
2022,Chan Tan Ching-fen
2022,Andrew & Peggy Cherng
2022,Pan Laican
2022,Wijono & Hermanto Tanoko
2022,Benjamin Otto
2022,Karen Virginia Beckmann Legoretta
2022,Dong Fan
2022,Jianping Lai
2022,Anna Katharina Viessmann
2022,Abdulla bin Ahmad Al Ghurair & family
2022,Liu Fangyi
2022,Ulrike Baro
2022,Chen Qiongxiang
2022,Yoichi & Keiko Erikawa
2022,Karin Sartorius-Herbst
2022,Christiane Schoeller
2022,Karin Schick
2022,Bill and Jean Adderley & family
2022,Bai Baokun
2022,Chen Kaichen
2022,Melissa Ma
2022,Chang Kuo-Ming
2022,Mark & Robyn Jones
2022,Charlwin Mao
2022,Manas Chiaravanond
2022,Dong Jinggui
2022,Li Haiyan
2022,Lu Di
2022,Renate Sick-Glaser
2022,Sebastian Glaser
2022,Tan Lili
2022,Tseng Sing-ai
2022,Fritz Draexlmaier
2022,Ruben Feffer
2022,Lai Jianfa
2022,Li Jinyang
2022,Li Ming
2022,Tadako Nakatani
2022,Xu Zhenhua
2022,Justin Yuan
2022,Cho Jyh-jer
2022,Christine Knauf
2022,Karl Knauf
2022,Shao Jianxiong
2022,Shu Ping
2022,Wang Fuji
2022,Zong Yanmin
2022,Cai Hongbin
2022,Chang Kuo-Cheng
2022,Shum Chiu Hung & family
2022,Wang Jianfeng & family
2022,Guan Yihong
2022,Christian Herz
2022,Michaela Herz
2022,Huang Jiangji
2022,Martin Knauf
2022,Robert Knauf
2022,Michael McCain
2022,Gabriella Meister
2022,Catherine Phillips
2022,Shao Zengming
2022,Wang Linxiang
2022,Richard Warke
2022,Zeng Weixiong
