year,full_name
2024,Marcos Galperin
2024,Zhou Qunfei
2024,Gerda Tschira
2024,Maggie Gu
2024,Molly Miao
2024,Ren Xiaoqing
2024,Jian Yao
2024,Abdulla bin Ahmad Al Ghurair & family
2024,Paolo Ardoino
2024,Jean-Louis van der Velde
2024,Christiane Schoeller
2024,Anna Katharina Viessmann
2024,Karin Sartorius-Herbst
2024,Karen Virginia Beckmann Legoretta
2024,Haoyu Cai
2024,Martin Bouygues
2024,Chan Tan Ching-fen
2024,Andrew Bialecki
2024,Stuart Hoegner
2024,Dong Jinggui
2024,Xue Hua
2024,Lam Wai-ying
2024,Pawel Marchewka
2024,Fritz Draexlmaier
2024,Liu Wei
2024,Maike Oberwelland-Height
2024,Shu Ping
2024,Lu Di
2024,Luo Yuhao
2024,Melissa Ma
2024,Fernando Espinosa Abdal├í
2024,Leopoldo Espinosa Abdal├í
2024,Li Haiyan
2024,Gabriella Meister
2024,Carmen Daurella Aguilera
2024,Dong Fan
2024,Ruben Feffer
2024,Yasuhisa Ito
2024,Lai Jianping
2024,Catherine Phillips
2024,Ling Tang
2024,Xu Zhenhua
2024,Hisako Yamamoto
2024,Justin Yuan
2024,Chen Kaichen
2024,Diona Teh Li Shian
2024,Lai Jianfa
2024,Lillian Teh Li Ming
2024,Lillyn Teh Li Hua
2024,Pan Laican
2024,R├®al Plourde
2024,Alessandro Rosano
2024,William Teh Lee Pang
2024,Christian Chabot
2024,Chen Qiongxiang
2024,Christine Knauf
2024,Karl Knauf
2024,Simone Maag de Moura Cunha
2024,Charlwin Mao
2024,Ingrid Wu
2024,Maria Frias
2024,Tadako Nakatani
2024,Chang Kuo-Ming
2024,Dong Zengping
2024,Cl├│vis Erm├¡rio de Moraes
2024,Gyorgy Gattyan
2024,Christian Herz
2024,Michaela Herz
2024,Huang Jiangji
2024,Li Jinyang
2024,Liu Fangyi
2024,Francesco Saputo
2024,Carlos Eduardo M. Scripilliti
2024,Tan Lili
2024,Tseng Sing-ai
2024,Regina Helena S. Velloso
2024,Wang Jianfeng & family
2024,Cai Hongbin
2024,Martin Knauf
2024,Robert Knauf
2024,James Peng
2024,Zhang Hong
